# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May  6 10:43:37 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
#
pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,st_dist,st_teff,pl_disc,pl_facility,pl_pelink,pl_edelink
2MASS J02192210-3925225 b,Imaging,1,,156.000000,,,13.90000,1.440,39.40,3064.00,2015,Cerro Tololo Inter-American Observatory,http://exoplanet.eu/catalog/2m_0219-39_b/,
2MASS J04414489+2301513 b,Imaging,1,,15.000000,,,7.50000,,140.00,,2010,Hubble Space Telescope,http://exoplanet.eu/catalog/2m_0441%2B23_b/,
2MASS J12073346-3932539 b,Imaging,1,,46.000000,,,4.00000,,64.42,,2004,Paranal Observatory,http://exoplanet.eu/catalog/2m1207_b/,
2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.00000000,0.920000,,,1.90000,,400.77,,2015,Kepler,http://exoplanet.eu/catalog/2m_1938%2B46_b/,
2MASS J21402931+1625183 A b,Imaging,1,7336.50000000,,0.260000,46.200,20.95000,0.920,25.00,2300.00,2009,W. M. Keck Observatory,http://exoplanet.eu/catalog/2m_2140+16_b/,
2MASS J22362452+4751425 b,Imaging,1,,230.000000,,,12.50000,,74.00,4045.00,2016,W. M. Keck Observatory,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,
30 Ari B b,Radial Velocity,1,335.10001000,0.990000,0.290000,,13.82000,,44.71,6331.00,2009,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b
4 UMa b,Radial Velocity,1,269.30000000,0.870000,0.432000,,7.10000,,73.58,4415.00,2006,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b
42 Dra b,Radial Velocity,1,479.10000000,1.190000,0.380000,,3.88000,,90.86,4200.00,2008,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b
47 UMa b,Radial Velocity,3,1078.00000000,2.100000,0.032000,,2.53000,,13.80,5892.00,1996,Lick Observatory,http://exoplanet.eu/catalog/47_uma_b/,http://exoplanets.org/detail/47_UMa_b
47 UMa c,Radial Velocity,3,2391.00000000,3.600000,0.098000,,0.54000,,13.80,5892.00,2001,Lick Observatory,http://exoplanet.eu/catalog/47_uma_c/,http://exoplanets.org/detail/47_UMa_c
47 UMa d,Radial Velocity,3,14002.00000000,11.600000,0.160000,,1.64000,,13.80,5892.00,2009,Lick Observatory,http://exoplanet.eu/catalog/47_uma_d/,
51 Eri b,Imaging,1,11688.00000000,12.000000,0.450000,133.000,,,29.40,,2015,Gemini Observatory,http://exoplanet.eu/catalog/51_eri_b/,
51 Peg b,Radial Velocity,1,4.23078500,0.052700,0.013000,,0.47200,,15.47,5793.00,1995,Haute-Provence Observatory,http://exoplanet.eu/catalog/51_peg_b/,http://exoplanets.org/detail/51_Peg_b
55 Cnc b,Radial Velocity,5,14.65152000,0.115227,0.003400,90.000,0.83060,,12.59,5196.00,1996,Lick Observatory,http://exoplanet.eu/catalog/55_cnc_b/,http://exoplanets.org/detail/55_Cnc_b
55 Cnc c,Radial Velocity,5,44.41750000,0.241376,0.020000,90.000,0.17140,,12.59,5196.00,2004,McDonald Observatory,http://exoplanet.eu/catalog/55_cnc_c/,http://exoplanets.org/detail/55_Cnc_c
55 Cnc d,Radial Velocity,5,4825.00000000,5.503000,0.019000,90.000,3.87800,,12.59,5196.00,2002,Lick Observatory,http://exoplanet.eu/catalog/55_cnc_d/,http://exoplanets.org/detail/55_Cnc_d
55 Cnc e,Radial Velocity,5,0.73653900,0.015440,,83.300,0.02542,0.170,12.59,5196.00,2004,McDonald Observatory,http://exoplanet.eu/catalog/55_cnc_e/,http://exoplanets.org/detail/55_Cnc_e
55 Cnc f,Radial Velocity,5,262.00000000,0.788000,0.305000,90.000,0.14100,,12.59,5196.00,2007,Multiple Observatories,http://exoplanet.eu/catalog/55_cnc_f/,http://exoplanets.org/detail/55_Cnc_f
6 Lyn b,Radial Velocity,1,934.30000000,2.110000,0.073000,,2.01000,,54.74,4938.00,2008,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/6_lyn_b/,http://exoplanets.org/detail/6_Lyn_b
61 Vir b,Radial Velocity,3,4.21500000,0.050201,0.120000,,0.01600,,8.51,5577.00,2009,Multiple Observatories,http://exoplanet.eu/catalog/61_vir_b/,http://exoplanets.org/detail/61_Vir_b
61 Vir c,Radial Velocity,3,38.02100000,0.217500,0.140000,,0.05700,,8.51,5577.00,2009,Multiple Observatories,http://exoplanet.eu/catalog/61_vir_c/,http://exoplanets.org/detail/61_Vir_c
61 Vir d,Radial Velocity,3,123.01000000,0.476000,0.350000,,0.07200,,8.51,5577.00,2009,Multiple Observatories,http://exoplanet.eu/catalog/61_vir_d/,http://exoplanets.org/detail/61_Vir_d
7 CMa b,Radial Velocity,2,735.10000000,1.758000,0.060000,90.000,1.85000,,19.82,4826.00,2011,Anglo-Australian Telescope,http://exoplanet.eu/catalog/7_cma_b/,http://exoplanets.org/detail/7_CMa_b
7 CMa c,Radial Velocity,2,996.00000000,2.153000,0.080000,90.000,0.87000,,19.82,4826.00,2019,Multiple Observatories,http://exoplanet.eu/catalog/7_cma_c/,
70 Vir b,Radial Velocity,1,116.68800000,0.481000,0.398800,,7.41600,,17.91,5495.00,1996,Lick Observatory,http://exoplanet.eu/catalog/70_vir_b/,http://exoplanets.org/detail/70_Vir_b
75 Cet b,Radial Velocity,1,691.90000000,2.100000,0.117000,,3.00000,,83.15,4846.00,2012,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/75_cet_b/,http://exoplanets.org/detail/75_Cet_b
8 UMi b,Radial Velocity,1,93.40000000,0.490000,0.060000,,1.31000,,163.32,4847.00,2015,Bohyunsan Optical Astronomical Observatory,http://exoplanet.eu/catalog/8_umi_b/,
81 Cet b,Radial Velocity,1,952.70000000,2.500000,0.206000,,5.30000,,101.53,4785.00,2008,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/81_cet_b/,http://exoplanets.org/detail/81_Cet_b
91 Aqr b,Radial Velocity,1,181.40000000,0.700000,0.027000,,3.20000,,44.08,4665.00,2013,Lick Observatory,http://exoplanet.eu/catalog/91_aqr_b/,http://exoplanets.org/detail/91_Aqr_b
AB Pic b,Imaging,1,,260.000000,,,13.50000,,50.12,,2005,Paranal Observatory,http://exoplanet.eu/catalog/ab_pic_b/,
BD+03 2562 b,Radial Velocity,1,481.90000000,1.300000,0.200000,,6.40000,,2618.00,4095.00,2017,Multiple Observatories,,
BD+14 4559 b,Radial Velocity,1,268.94000000,0.780000,0.290000,,1.04000,,49.42,4864.00,2009,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B14_4559_b/,http://exoplanets.org/detail/BD_+14_4559_b
BD+15 2375 b,Radial Velocity,1,153.22000000,0.576000,0.001000,,1.06100,,774.00,4649.00,2016,Roque de los Muchachos Observatory,http://exoplanet.eu/catalog/bd%2B15_2375_b/,
BD+15 2940 b,Radial Velocity,1,137.48000000,0.539000,0.260000,,1.11000,,431.61,4796.00,2013,McDonald Observatory,http://exoplanet.eu/catalog/bd+15_2940_b/,
BD+20 2457 b,Radial Velocity,2,379.63000000,1.050000,0.150000,,55.59000,,1670.85,4259.00,2009,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B20_2457_b/,http://exoplanets.org/detail/BD_+20_2457_b
BD+20 2457 c,Radial Velocity,2,621.99000000,2.010000,0.180000,,12.47000,,1670.85,4259.00,2009,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B20_2457_c/,http://exoplanets.org/detail/BD_+20_2457_c
BD+20 274 b,Radial Velocity,1,578.20000000,1.300000,0.210000,,4.20000,,1383.85,4296.00,2012,McDonald Observatory,http://exoplanet.eu/catalog/bd+20_274_c/,
BD+20 594 b,Transit,1,41.68550000,,0.000000,89.550,0.07000,0.230,180.39,5766.00,2016,K2,http://exoplanet.eu/catalog/bd%2B20_594_b/,
BD+48 738 b,Radial Velocity,1,392.60000000,1.000000,0.200000,,0.91000,,892.17,4414.00,2011,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B48_738_b/,http://exoplanets.org/detail/BD_+48_738_b
BD+48 740 b,Radial Velocity,1,733.00000000,1.700000,0.760000,,1.70000,,678.94,4534.00,2018,Multiple Observatories,,
BD+49 828 b,Radial Velocity,1,2590.00000000,4.200000,0.350000,,1.60000,,447.59,4943.00,2015,McDonald Observatory,http://exoplanet.eu/catalog/bd%2B49_828_b/,
BD-06 1339 b,Radial Velocity,2,3.87280000,0.042800,0.000000,,0.02700,,20.28,4324.00,2013,La Silla Observatory,http://exoplanet.eu/catalog/bd-06_1339_b/,
BD-06 1339 c,Radial Velocity,2,125.94000000,0.435000,0.310000,,0.17000,,20.28,4324.00,2013,La Silla Observatory,http://exoplanet.eu/catalog/bd-06_1339_c/,
BD-08 2823 b,Radial Velocity,2,5.60000000,0.060000,0.150000,,0.04000,,41.38,4816.00,2009,La Silla Observatory,http://exoplanet.eu/catalog/bd-08_2823_b/,http://exoplanets.org/detail/BD_-08_2823_b
BD-08 2823 c,Radial Velocity,2,237.60000000,0.680000,0.190000,,0.33000,,41.38,4816.00,2009,La Silla Observatory,http://exoplanet.eu/catalog/bd-08_2823_c/,http://exoplanets.org/detail/BD_-08_2823_c
BD-10 3166 b,Radial Velocity,1,3.48777000,0.040000,0.020000,,0.59000,,84.61,5393.00,2000,W. M. Keck Observatory,http://exoplanet.eu/catalog/bd-10_3166_b/,http://exoplanets.org/detail/BD_-10_3166_b
BD-11 4672 b,Radial Velocity,1,1667.00000000,2.280000,0.050000,,0.53000,,27.30,4475.00,2014,La Silla Observatory,http://exoplanet.eu/catalog/bd-11_4672_b/,
BD-13 2130 b,Radial Velocity,1,714.29999000,1.660000,0.210000,,9.78000,,948.75,4545.00,2007,La Silla Observatory,http://exoplanet.eu/catalog/ngc_2423_3_b/,http://exoplanets.org/detail/NGC_2423_3_b
BD-17 63 b,Radial Velocity,1,655.60000000,1.340000,0.540000,,5.10000,,34.49,4714.00,2008,La Silla Observatory,http://exoplanet.eu/catalog/bd-17_63_b/,http://exoplanets.org/detail/HIP_2247_b
CFBDSIR J145829+101343 b,Imaging,1,10037.50000000,2.600000,,,10.50000,,23.10,580.50,2011,W. M. Keck Observatory,http://exoplanet.eu/catalog/cfbds_1458_a/,
CHXR 73 b,Imaging,1,,210.000000,,,12.56900,,191.05,,2006,Hubble Space Telescope,http://exoplanet.eu/catalog/chxr_73_b/,
CI Tau b,Radial Velocity,1,8.98910000,,0.250000,50.500,11.60000,,158.00,,2019,Multiple Observatories,http://exoplanet.eu/catalog/ci_tau_b/,
CT Cha b,Imaging,1,,440.000000,,,17.00000,2.200,165.00,,2007,Paranal Observatory,http://exoplanet.eu/catalog/ct_cha_b/,
CoRoT-1 b,Transit,1,1.50895570,,0.000000,85.100,1.03000,1.490,805.31,5950.00,2008,CoRoT,http://exoplanet.eu/catalog/corot-1_b/,http://exoplanets.org/detail/CoRoT-1_b
CoRoT-10 b,Transit,1,13.24060000,0.105500,0.530000,88.550,2.75000,0.970,345.00,5075.00,2010,CoRoT,http://exoplanet.eu/catalog/corot-10_b/,http://exoplanets.org/detail/CoRoT-10_b
CoRoT-11 b,Transit,1,2.99433000,0.043600,0.000000,83.170,2.33000,1.430,560.00,6440.00,2010,CoRoT,http://exoplanet.eu/catalog/corot-11_b/,http://exoplanets.org/detail/CoRoT-11_b
CoRoT-12 b,Transit,1,2.82804200,0.040160,0.070000,85.480,0.91700,1.440,1150.00,5675.00,2010,CoRoT,http://exoplanet.eu/catalog/corot-12_b/,http://exoplanets.org/detail/CoRoT-12_b
CoRoT-13 b,Transit,1,4.03519000,0.051000,0.000000,88.020,1.30800,0.885,1060.00,5945.00,2010,CoRoT,http://exoplanet.eu/catalog/corot-13_b/,http://exoplanets.org/detail/CoRoT-13_b
CoRoT-14 b,Transit,1,1.51214000,0.027000,0.000000,79.600,7.60000,1.090,1340.00,6035.00,2010,CoRoT,http://exoplanet.eu/catalog/corot-14_b/,http://exoplanets.org/detail/CoRoT-14_b
CoRoT-16 b,Transit,1,5.35227000,0.061800,0.330000,85.010,0.53500,1.170,840.00,5650.00,2011,CoRoT,http://exoplanet.eu/catalog/corot-16_b/,http://exoplanets.org/detail/CoRoT-16_b
CoRoT-17 b,Transit,1,3.76810000,0.046100,0.000000,88.340,2.43000,1.020,920.00,5740.00,2011,CoRoT,http://exoplanet.eu/catalog/corot-17_b/,http://exoplanets.org/detail/CoRoT-17_b
CoRoT-18 b,Transit,1,1.90006930,0.029500,0.080000,86.500,3.47000,1.310,870.00,5440.00,2011,CoRoT,http://exoplanet.eu/catalog/corot-18_b/,http://exoplanets.org/detail/CoRoT-18_b
CoRoT-19 b,Transit,1,3.89713000,0.051800,0.047000,88.000,1.11000,1.290,770.00,6090.00,2011,CoRoT,http://exoplanet.eu/catalog/corot-19_b/,http://exoplanets.org/detail/CoRoT-19_b
CoRoT-2 b,Transit,1,1.74299350,0.027980,0.014300,88.080,3.47000,1.466,200.00,5625.00,2008,CoRoT,http://exoplanet.eu/catalog/corot-2_b/,http://exoplanets.org/detail/CoRoT-2_b
CoRoT-20 b,Transit,2,9.24285000,0.090000,0.590000,88.210,4.30000,,864.31,,2011,CoRoT,http://exoplanet.eu/catalog/corot-20_b/,
CoRoT-20 c,Radial Velocity,2,1675.00000000,2.900000,0.600000,,17.00000,,864.31,,2018,Multiple Observatories,http://exoplanet.eu/catalog/corot-20_c/,
CoRoT-21 b,Transit,1,2.72474000,0.041700,0.000000,86.800,2.26000,1.300,1398.83,6200.00,2012,CoRoT,http://exoplanet.eu/catalog/corot-21_b/,
CoRoT-22 b,Transit,1,9.75598000,0.092000,0.077000,89.749,0.03800,0.435,592.00,5939.00,2014,CoRoT,http://exoplanet.eu/catalog/corot-22_b/,
CoRoT-23 b,Transit,1,3.63130000,0.048000,0.160000,85.700,2.80000,1.050,600.00,5900.00,2011,CoRoT,http://exoplanet.eu/catalog/corot-23_b/,http://exoplanets.org/detail/CoRoT-23_b
CoRoT-24 b,Transit,2,5.11340000,0.056000,0.000000,86.500,0.01800,0.330,600.00,4950.00,2014,CoRoT,http://exoplanet.eu/catalog/corot-24_b/,
CoRoT-24 c,Transit,2,11.75900000,0.098000,0.000000,89.000,0.08800,0.440,600.00,4950.00,2014,CoRoT,http://exoplanet.eu/catalog/corot-24_c/,
CoRoT-25 b,Transit,1,4.86069000,0.057800,0.000000,84.500,0.27000,1.080,1000.00,6040.00,2013,CoRoT,http://exoplanet.eu/catalog/corot-25_b/,http://exoplanets.org/detail/CoRoT-25_b
CoRoT-26 b,Transit,1,4.20474000,0.052600,0.000000,86.800,0.52000,1.260,1670.00,5590.00,2013,CoRoT,http://exoplanet.eu/catalog/corot-26_b/,http://exoplanets.org/detail/CoRoT-26_b
CoRoT-27 b,Transit,1,3.57532000,0.047600,0.065000,86.700,10.39000,1.007,1035.15,5900.00,2014,CoRoT,http://exoplanet.eu/catalog/corot-27_b/,http://exoplanets.org/detail/CoRoT-27_b
CoRoT-28 b,Transit,1,5.20851000,0.060300,0.047000,88.100,0.48400,0.955,560.00,5150.00,2015,CoRoT,http://exoplanet.eu/catalog/corot-28_b/,
CoRoT-29 b,Transit,1,2.85057000,0.038600,0.082000,87.300,0.85000,0.900,765.00,5260.00,2015,CoRoT,http://exoplanet.eu/catalog/corot-29_b/,
CoRoT-3 b,Transit,1,4.25680000,,0.000000,85.900,21.66000,1.010,680.00,6740.00,2008,CoRoT,http://exoplanet.eu/catalog/corot-3_b/,http://exoplanets.org/detail/CoRoT-3_b
CoRoT-30 b,Transit,1,9.06005000,0.084400,0.007000,90.000,2.90000,1.009,960.00,5650.00,2020,CoRoT,http://exoplanet.eu/catalog/corot-30_b/,
CoRoT-31 b,Transit,1,4.62941000,0.058600,0.020000,83.200,0.84000,1.460,2190.00,5700.00,2020,CoRoT,http://exoplanet.eu/catalog/corot-31_b/,
CoRoT-4 b,Transit,1,9.20205000,0.090000,0.000000,90.000,0.72000,1.190,741.60,6190.00,2008,CoRoT,http://exoplanet.eu/catalog/corot-4_b/,http://exoplanets.org/detail/CoRoT-4_b
CoRoT-5 b,Transit,1,4.03789620,0.049470,0.090000,85.830,0.46700,1.388,904.65,6100.00,2009,CoRoT,http://exoplanet.eu/catalog/corot-5_b/,http://exoplanets.org/detail/CoRoT-5_b
CoRoT-6 b,Transit,1,8.88659300,0.085500,0.100000,89.070,2.96000,1.166,657.24,6090.00,2009,CoRoT,http://exoplanet.eu/catalog/corot-6_b/,http://exoplanets.org/detail/CoRoT-6_b
CoRoT-7 b,Transit,2,0.85359163,,0.000000,80.100,0.01000,0.150,160.64,5275.00,2009,CoRoT,http://exoplanet.eu/catalog/corot-7_b/,http://exoplanets.org/detail/CoRoT-7_b
CoRoT-7 c,Radial Velocity,2,3.69800000,0.046000,0.000000,80.000,0.02643,,160.64,5275.00,2009,CoRoT,http://exoplanet.eu/catalog/corot-7_c/,
CoRoT-8 b,Transit,1,6.21229000,0.063000,0.000000,88.400,0.22000,0.570,380.00,5080.00,2010,CoRoT,http://exoplanet.eu/catalog/corot-8_b/,http://exoplanets.org/detail/CoRoT-8_b
CoRoT-9 b,Transit,1,95.27265600,0.402100,0.133000,89.900,0.84000,1.066,417.89,5625.00,2009,CoRoT,http://exoplanet.eu/catalog/corot-9_b/,http://exoplanets.org/detail/CoRoT-9_b
CoRoTID 223977153 b,Transit,1,6.71837000,0.071000,,89.000,0.15000,0.570,586.20,5970.00,2017,CoRoT,http://exoplanet.eu/catalog/corot-32_b/,
DE CVn b,Eclipse Timing Variations,1,4098.10000000,5.750000,0.000000,86.000,12.02930,,30.55,,2018,Multiple Facilities,http://exoplanet.eu/catalog/de_cvn_b/,
DENIS-P J082303.1-491201 b,Astrometry,1,246.36000000,0.360000,0.345000,56.600,28.50000,,20.77,,2013,Paranal Observatory,,
DH Tau b,Imaging,1,,330.000000,,,11.00000,,140.00,,2004,Subaru Telescope,http://exoplanet.eu/catalog/dh_tau_b/,
DMPP-1 b,Radial Velocity,4,18.57000000,0.146200,0.083000,,0.07636,,62.00,6196.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_38677_b/,
DMPP-1 c,Radial Velocity,4,6.58400000,0.073300,0.057000,,0.03020,,62.00,6196.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_38677_c/,
DMPP-1 d,Radial Velocity,4,2.88200000,0.042200,0.070000,,0.01054,,62.00,6196.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_38677_d/,
DMPP-1 e,Radial Velocity,4,5.51600000,0.065100,0.070000,,0.01299,,62.00,6196.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_38677_e/,
DMPP-2 b,Radial Velocity,1,5.20720000,0.066400,0.078000,,0.43700,,134.00,6500.00,2019,Multiple Facilities,http://exoplanet.eu/catalog/hd_11231_b/,
DMPP-3 A b,Radial Velocity,1,6.67320000,0.066200,0.140000,,0.00812,,48.90,5138.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_42936_b/,
DP Leo b,Eclipse Timing Variations,1,10220.00000000,8.190000,0.390000,,6.05000,,305.06,13500.00,2009,Yunnan Astronomical Observatory,http://exoplanet.eu/catalog/dp_leo_(ab)_b/,
DS Tuc A b,Transit,1,8.13826800,,0.000000,89.500,,0.509,44.12,5428.00,2019,Transiting Exoplanet Survey Satellite (TESS),http://exoplanet.eu/catalog/ds_tuc_a_b/,
EPIC 201238110 b,Transit,1,28.16560000,,,,,0.167,159.98,,2019,K2,,
EPIC 201497682 b,Transit,1,2.13174000,,,,,0.062,254.88,,2019,K2,,
EPIC 201615463 c,Transit,2,3.80464000,,,,,0.109,481.00,,2019,K2,,
EPIC 201754305 d,Transit,3,2.71578000,,,,,0.092,338.19,,2019,K2,,
EPIC 201833600 c,Transit,2,3.96151000,,,,,0.089,259.33,,2019,K2,,
EPIC 201841433 b,Transit,1,4.16959000,,,,,0.098,441.94,,2019,K2,,
EPIC 205950854 c,Transit,2,8.05072200,,,89.810,,0.117,245.56,5502.70,2019,K2,,
EPIC 206024342 b,Transit,1,4.50756000,,,,,0.152,373.81,,2019,K2,,
EPIC 206032309 b,Transit,1,2.87814000,,,,,0.090,162.09,,2019,K2,,
EPIC 206042996 b,Transit,1,5.29711000,,,,,0.145,457.27,,2019,K2,,
EPIC 206215704 b,Transit,1,2.25372000,,,,,0.080,110.22,,2019,K2,,
EPIC 206317286 b,Transit,1,1.58252000,,,,,0.086,317.20,,2019,K2,,
EPIC 211822797 b,Transit,1,21.16986100,0.131000,0.060000,89.730,,0.177,187.19,4148.21,2016,K2,http://exoplanet.eu/catalog/epic_211822797_b/,
EPIC 211945201 b,Transit,1,19.49221000,0.149300,,,,0.514,182.69,6069.00,2018,K2,http://exoplanet.eu/catalog/epic__211945201_b/,
EPIC 212297394 b,Transit,1,2.28943000,,,,,0.118,423.35,,2019,K2,,
EPIC 212424622 b,Transit,1,18.09830000,,,,,0.194,622.67,,2019,K2,,
EPIC 212499991 b,Transit,1,34.88500000,,,,,0.143,285.61,,2019,K2,,
EPIC 212587672 b,Transit,1,15.28410000,,,,,0.100,322.88,,2019,K2,,
EPIC 212737443 b,Transit,2,13.60300000,0.098000,0.200000,89.071,,0.231,347.45,4684.00,2019,K2,http://exoplanet.eu/catalog/epic_212737443_b/,
EPIC 212737443 c,Transit,2,65.55000000,0.280000,0.200000,89.630,,0.240,347.45,4684.00,2019,K2,http://exoplanet.eu/catalog/epic_212737443_c/,
EPIC 220554210 c,Transit,2,0.70531000,,,,,0.132,502.28,,2019,K2,,
EPIC 220674823 b,Transit,2,0.57133100,0.013400,,,,0.162,246.10,5617.00,2016,K2,http://exoplanet.eu/catalog/k2-106_b/,
EPIC 220674823 c,Transit,2,13.33907900,0.109100,,,,0.244,246.10,5617.00,2016,K2,http://exoplanet.eu/catalog/k2-106_c/,
EPIC 246851721 b,Transit,1,6.18023500,0.072290,,86.210,3.00000,1.051,336.70,6202.00,2018,K2,http://exoplanet.eu/catalog/epic_246851721_b/,
EPIC 248847494 b,Transit,1,3650.00000000,4.500000,0.000000,89.870,13.00000,1.110,560.00,4898.00,2018,K2,,
EPIC 249893012 b,Transit,3,3.59510000,0.047000,0.060000,86.140,0.02753,0.174,324.22,5430.00,2020,K2,http://exoplanet.eu/catalog/epic_249893012_b/,
EPIC 249893012 c,Transit,3,15.62400000,0.130000,0.070000,87.940,0.04616,0.327,324.22,5430.00,2020,K2,http://exoplanet.eu/catalog/epic_249893012_c/,
EPIC 249893012 d,Transit,3,35.74700000,0.220000,0.150000,89.470,0.03203,0.352,324.22,5430.00,2020,K2,http://exoplanet.eu/catalog/epic_249893012_d/,
FU Tau b,Imaging,1,,800.000000,,,16.00000,,140.00,2838.00,2008,Spitzer Space Telescope,http://exoplanet.eu/catalog/fu_tau_b/,
Fomalhaut b,Imaging,1,555530.00000000,160.000000,0.870000,55.000,,,7.70,,2008,Hubble Space Telescope,http://exoplanet.eu/catalog/fomalhaut_b/,http://exoplanets.org/detail/Fomalhaut_b
G 9-40 b,Transit,1,5.74600700,0.038500,0.000000,88.570,,0.181,27.93,3348.00,2019,K2,http://exoplanet.eu/catalog/g_9-40_b/,
GJ 1061 b,Radial Velocity,3,3.20400000,0.021000,0.310000,,0.00431,,3.67,2953.00,2020,La Silla Observatory,http://exoplanet.eu/catalog/gj_1061_b/,
